,device,topic_level1,topic_level2,topic_level3,action,related topic (noun),title,question,answer,type,comment,
58,no_device,"['device', 'hardware']",['activate '],[],,"monthly installments, activation fee, upgrade fee",FAQs about monthly installments,Is there an activation or upgrade fee for customers who purchase a device with monthly installments?,"For consumers and individual liable customers, a $30 activation or upgrade fee will apply on the customer's first invoice. For business customers, standard activation fees will apply on the customer's first invoice.",general,purchase a device with monthly installments,
223,no_device,['hardware'],['activate '],[],,Sprint One Up,Learn more about Sprint One Up,What if I go on Military Suspend with an active Installment Agreement?,"If your line is suspended under our currently military suspend program, your installment billing payments will also suspend and your payments and service will resume upon your return from military service.",general,,remove
1174,no_device,['service'],['plan'],[],switch plan,framily plan,Learn about changes to the Sprint Framily Plan,I'm on the Framily plan. Can I switch to a different plan?,"All lines on an existing customer's account can switch to a different plan by meeting one of the following conditions:
One phone on your account was purchased on Sprint Easy Pay One line is no longer under a one or two-year term agreement One line is Upgrade eligible on your account and upgrading to a new device on your account By adding a new line of service to these plans on your account Note: The line meeting one of the above conditions must switch to the Family Share Pack or $60 Unlimited plan for other lines on the account to be eligible to switch.",general,,
1815,samsung_galaxi_s7,['software'],['internet&network'],['data'],update data profile,data profile,Update data profile - Samsung Galaxy S7,Update data profile - Samsung Galaxy S7,"From the home screen, swipe down the Status bar.

	Note: Updating the data profile requires the device be in a Sprint coverage area. To verify Sprint Coverage, visit the Sprint website at coverage.sprint.com.

	Tap the Settings icon.

	Scroll to and tap System Update.

	Tap Update Profile.

	Once the profile update is complete, tap OK.

	The data profile is now up to date.",device,,
537,no_device,[],[],[],,"web pricing, Buy Online Pick Up in Store","FAQs about Buy Online, Pick Up in Store",How does web pricing work?,"Discount web pricing applies to new lines of services or fully eligible upgrades with a 2-year agreement. If you're not eligible for an upgrade, you'll need to pay full retail prices for device purchases. Online offers may not be combined with other offers.",general,,
375,no_device,"['device', 'service', 'hardware']","['phone', 'camera']",['phone'],,prepaid phone,Sprint Prepaid phone unlocking policy and FAQs,What does it mean for my device to be 'locked'?,"The term ""locked"" typically refers to a device that can only be used on the Sprint network and cannot be activated on a competing carrier's network. An ""unlocked"" device is no longer locked to Sprint Prepaid services and the user may attempt to activate it on another carrier's network. There are generally two scenarios for locking/unlocking:
Domestic SIM Unlocking (""DSU""): A device may be referred to as 'locked' if that device was manufactured with programming restrictions that prevent another carrier's SIM card from being inserted into the SIM slot for use on a different network.  Generally, most smartphones launched after February 2015 are DSU-capable  meaning the SIM slot can be unlocked for potential usage on other carriers in the United States. Even if unlocked, Sprint DSU-capable devices may not work on another carrier's network. Whether an unlocked Sprint device can be used on another carrier's network is subject to that carrier's policies and network compatibilities. MSL Unlocking: A device is 'locked' if it is manufactured with a type of disabling software and a locking code (referred to as 'Master Subsidy Lock' or 'MSL'). Generally, MSL locks were utilized on devices launched before February 2015.  Sprint can provide the MSL code to eligible customers, however this does not mean that the device will be able to be successfully used on any other carrier domestically. Whether another carrier will accept and activate a device on its network is subject to that carrier's policies and compatibilities.",general,,
2154,no_device,['service'],['service'],[],cancel service,,FAQs about canceling your Sprint service,How do I cancel my Sprint service?,"We strive to offer you the Best Value in Wireless. In the event you need to cancel your service, dial *2 from your Sprint phone or call 888-211-4727. For business plan cancellations, dial *2 from your Sprint phone or call 800-927-2199. If you've entered into a two-year Service Agreement and cancel service before your contract ends, you may be subject to an early termination fee. Visit sprint.com/etf to learn more. If you've signed up for an Installment Billing Agreement and cancel service, the remaining balance on your device becomes due. Visit sprint.com/easypay to learn more. If you're leasing a device and cancel service at any time during your lease term, you will have to pay the remaining lease payments plus the device purchase option price set forth in the Lease Agreement. Visit sprint.com/lease to learn more.",general,,
564,no_device,"['device', 'service', 'hardware']","['phone', 'eligible', 'camera']",['phone'],,"device protection, phone repair",FAQs about device protection,What phones are eligible for repair?,Most active/current Sprint devices on postpaid plans are eligible for repair. In-store service technicians can determine whether a device is eligible for repair or replacement.,general,,
1431,no_device,"['troubleshoot', 'software']",['internet&network'],['hotspot'],troubleshoot hotspots,mobile hotspots,Troubleshoot issues related to mobile hotspots and your Apple iPhone 6 Plus,Troubleshoot issues related to mobile hotspots and your Apple iPhone 6 Plus,"This article helps troubleshoot mobile hotspot issues on your Apple iPhone 6 Plus.
You may have mobile hotspot issues if you:
See Error 67 on your Apple iPhone 6 Plus Can't connect another device to your Apple iPhone 6 Plus mobile hotspot Connect to the mobile hotspot but can't browse
These steps help identify and resolve the underlying cause. After completing each step, test to see if the issue is fixed. If not, continue to the next step.
Verify you've enabled and set up mobile hotspot on your Apple iPhone 6 Plus.
Turn Wi-Fi hotspot on.
To Set up the iPhone 6 Plus as a Wi-Fi hotspot:
From the Home screen tap Settings. Tap Cellular. Tap Personal Hotspot . Tap Wi-Fi Password . Enter a password, then tap Done. Tap the Personal Hotspot switch to enable it.
Verify that mobile data is enabled.
From the home screen, tap Settings . Tap Cellular . Next to Cellular Data , tap the toggle switch to enable mobile data.
Verify your Apple iPhone 6 Plus is connected to the Sprint network using Safari.
Some features and applications require a data connection to work properly.
From the home screen, tap Safari . Try to browse to a web page. If the data connection fails, update the profile . Test your device to see if the issue is resolved.
Verify your subscription has an active mobile hotspot add-on.
On sprint.com, log in to your My Sprint to verify the add-on is active on the subscription.
Without the hotspot add-on, you can't share your Apple iPhone 6 Plus mobile hotspot with other devices.
Perform a soft reset.
A soft reset restarts your phone and does not erase any of your content or data.
From the home screen, press and hold the Power key and the Home key. Release the Power key and the Home key when the Apple logo appears. Your Apple iPhone restarts.
Note: To optimize device performance, be sure your Apple iPhone 6 Plus is running the most recent device software. Check for software updates.
If you're still having issues, please try the Sprint Community pages or make an appointment at a convenient Sprint Repair center for more help.",general,,
670,samsung_galaxi_s7,[],[],[],use Private mode,private mode,FAQs related to Private mode on your Samsung Galaxy S7,How do I use Private mode?,Set up and use Privacy mode.,device,,
1055,no_device,['bill'],"['pay', 'payment']",[],,payment arrangement,FAQs about payment arrangements,What is a payment arrangement?,"A payment arrangement gives qualified customers extra time to pay past due or the total balance on their account. Payment arrangements are scheduled payments that automatically process on the date selected with a selected payment method.
How do I know if I qualify for a payment arrangement?
The process is easy and helps keep your account protected, but remember past due payments may be subject to late fees. If your account is past due:
Sign into your My Sprint account. Go to Payment Center . Click the Other date button. Click the calendar icon . Select a date that is convenient for you. A message will display if you are able to establish a payment arrangement.

If your account does not qualify for a payment arrangement you may be allowed to schedule a future dated payment. Please note that a future dated payment does not protect your account from collection activity.
Will a payment arrangement prevent late fees?
No. Any past due balance paid after the due date may be subject to late fees.",general,,
1291,no_device,['service'],['plan'],[],,Framily Plan,Learn about changes to the Sprint Framily Plan,How can I check how many individuals are in the group I am in or if individuals join or leave the group?,"You can find the number of individuals in your Framily group by logging into your My Sprint account at sprint.com. As an account holder, your account must be set up properly to receive a notification via text or email when an individual is added to or removed from the group you are in. You will also receive a notification when an unsuccessful attempt to add a member is made and the group is already at the maximum number of 10. It's important to set up your account properly to ensure you get notifications. Follow these easy steps to keep your settings up to date: Visit sprint.com/preferences and sign in to My Sprint. Click the Account & usage notifications link in the All about me section. Edit or add your email address under Account notifications . Select email or text as your preferred notification method under Security & usage notifications . Edit or add your email address or phone number.",general,,
183,no_device,[],[],[],pick up order,Buy Online Pick Up in Store,"FAQs about Buy Online, Pick Up in Store",Can someone else pick up my order for me?,See above. But short answer: no.,general,,
444,no_device,['software'],['internet&network'],"['roaming', 'data']",purchase a data roaming pass,"Sprint Global Roaming, data roaming, international high speed roaming",FAQs about Sprint Global Roaming,How do I purchase a Sprint International High-Speed Data Roaming Pass?,"You can add a high-speed data pass at any time while you are traveling in a few simple clicks. Simply click the link in the welcome text message provided upon arrival to your destination, and choose your data experience.",general,,
259,no_device,"['service', 'hardware']","['number', 'phone', 'camera']",['phone'],"change phone number, change address",,Change your phone number and address on sprint.com,Change your phone number and address on sprint.com,"There may be occasions where you need to change your phone number. You can change your phone number to a different number anywhere Sprint provides service. There is no fee for changing your number when using My Sprint.
Restrictions:
You cannot choose a specific number. A new number will be randomly assigned. You cannot change your phone number more than 3 times in 30 days. Once your phone number is changed, you cannot switch back to your current number. You will need to set up a new voicemail account and all your saved voicemail messages will be lost. Changing your phone number will remove block or allow lists associated with that number. You will need to manually set up these lists for your new number. You cannot port over a number from another carrier through this self-service process.
You might need to change your phone number if:
You need a new phone number in the same area You need a different area code for this phone You are moving and need to change your billing address and phone number.
If you are moving and would like to update your service or billing address AND phone number:
Select I am moving and need to change my billing address and phone number Enter new billing address and click Save & continue Based on the billing address entered, new area codes may be available. Select your area code and click Continue . Agree to the Terms on the following page and click Continue to get your new phone number and area code. Your new phone number and area code will display.
IMPORTANT:
Your phone will need to be programmed with your new phone number. Many of our phones program automatically over the air on our network.
Turn on your phone. Wait a minute and then try to make a phone call. If you succeed, you are done.
If you cannot make a phone call, you will need to manually enter the information below to complete programming:
Master lock code New phone number MSID(IMSI)
It may take up to 72 hours for the new phone number to display for Caller ID. Please wait 15 minutes for your new number to appear on sprint.com.
If you still cannot make calls after manual programming your phone, please chat with an agent at www.sprint.com/chat or visit a local retail store for programming assistance.",general,,
594,no_device,"['account', 'service']","['account', 'eligible']",[],,"monthly installments, prepaid account",FAQs about monthly installments,Are prepaid accounts eligible for monthly installments?,No. Prepaid accounts are not eligible for monthly installments.,general,,
1495,no_device,"['bill', 'software']","['cost', 'internet&network']","['roaming', 'data']",[],"Sprint Global Roaming, international high speed data roaming",FAQs about Sprint Global Roaming,How much does the Sprint International High-Speed Data Roaming Pass cost?,"High-speed data options are available for purchase on your smartphone, via the Welcome SMS message that was sent when you arrived at your destination. Select the speed you need with inexpensive options for single day and/or weeklong high-speed experiences
Canada & Mexico $2/day $10/week Most other destinations $5/day $25/week China $10/day $50/week",general,,
1633,samsung_galaxi_s7,['software'],"['setting', 'email']",['setting'],setup email,Exchange email,Set up Exchange email - Samsung Galaxy S7,Set up Exchange email - Samsung Galaxy S7,"From the home screen, tap Email.

	Note: If the shortcut is not available, tap Apps, scroll to and tap the Samsung folder, then tap Email.

	Tap ADD NEW ACCOUNT.

	Note: If no email account (Google or POP/IMAP) exists, enter your Email address and Password, then tap SIGN IN. If a POP/IMAP email account already exists, tap MORE, tap Settings, then tap Add account.

	Enter the Email address and Password.

	When finished, tap SIGN IN.

	Note: If you receive an app permission prompt for Email, tap ALLOW.

	The device will attempt to set up the account automatically.

	If the settings are detected, tap the preferred sync settings and tap SIGN IN. Enter a name for the account and then tap DONE. The email account is now set up.

	If the settings are not found, tap MICROSOFT EXCHANGE ACTIVESYNC.

	Note: If an Unable to set up account prompt appears:

	
		Tap OK.
	
		Tap MANUAL SETUP.
	
		Tap MICROSOFT EXCHANGE ACTIVESYNC.


	Verify the Email address, Domain\username, Password and Exchange server are correct.

	Tap to check or uncheck Use secure connection (SSL) and Use client certificate as required.

	When finished, tap SIGN IN.

	If prompted to Activate Email, read the message and tap OK to continue.

	Tap to set the preferred sync settings.

	When finished, tap SIGN IN.

	Enter a name for the Exchange account, then tap DONE.

	The Microsoft Exchange ActiveSync account is now set up.",device,,
480,no_device,['account'],['account'],[],"enable content filter, disable content filter","parental control, content filter",FAQs about parental controls using content filters,I am the account owner. How do I enable/disable the content filter?,"From your computer or tablet:
Visit sprint.com/mysprint . Click the Sign in button. Enter your username and password and sign in. Click My Preferences . Scroll to the Limits and permissions section. Click the Content filter link. Follow the instructions on screen.
From your smartphone:
Visit sprint.com/mysprint . Click the Sign in button. Enter your username and password and sign in. Tap Manage your devices . Tap the Limits and permissions link next to your device. Scroll to the Content filter section. Follow the instructions on screen.",general,precondition: i am the account owner,
1387,samsung_galaxi_s7,['troubleshoot'],[],[],troubleshoot phone,,Troubleshoot when your Samsung Galaxy S7 Special Edition doesn't turn on,Troubleshoot when your Samsung Galaxy S7 Special Edition doesn't turn on,"This article helps troubleshoot your Samsung Galaxy S7 Special Edition not turning on 
  You may have this issue if your Samsung Galaxy S7 Special Edition: 
   
   Doesn't turn on 
   Starts to turn on but restarts or shuts down before it turns on completely 
   
  Try each of these steps if your phone doesn't turn on. 
   
    Verify that your Samsung Galaxy S7 Special Edition has a sufficient charge.  
     
     Connect your original charger to your phone. 
     After a few minutes, try to turn on your phone. 
      
    Verify that your phone and charging port are not damaged.  
     
     Carefully inspect your phone to be sure it's not overheating, swollen or damaged. 
     Carefully inspect your phone's charging port and remove any debris. 
     Caution: If your phone is damaged, do not complete the remaining steps in this guide. Make an appointment at a convenient Sprint Repair center.   
    Verify that you are using a compatible charger.  You risk severe damage to your phone if the charger isn't the same voltage, amps, and plug type as your original charger. You can purchase compatible chargers on sprint.com and at any Sprint Store.  
    Attempt a forced restart of the phone.  Note: If performed correctly, a forced restart will not erase any information from the phone.  
     
     Press and hold the Power and Volume down keys at the same time. 
     Release both keys as soon as the device restarts. 
     If your Samsung Galaxy S7 Special Edition does turn on, verify that it is running the most recent software. Check for software updates.  
    Attempt a hardware factory reset.  Note: A hardware factory reset will erase ALL information on the phone! Any information that is not backed up online or to the SD card will be PERMANENTLY LOST.  Perform a hardware factory reset.  
   
  If you're still having issues, try the Sprint Community pages make an appointment at a convenient Sprint Repair center.",device,precondition: phone doesn't turn on,
1503,appl_iphon_4_8gb,['hardware'],['battery'],[],,"phone battery, battery inconsistent life",FAQs related to the battery on your Apple iPhone 4,Why is my Apple iPhone 4 battery life inconsistent?,"How fast your battery runs down depends on what you do on your Apple iPhone 4. Features like Bluetooth, games, and web browsing put more strain on the battery than simple features like voice calls and text messages.",device,,
1106,no_device,"['device', 'software']",['internet&network'],"['roaming', 'wifi']",,"parental control, content filters,",FAQs about parental controls using content filters,Does the content filter work when a device is roaming or using Wi-Fi?,No. The content filter will only work for web pages accessed via the Sprint network. It will not work if the device is roaming or using Wi-Fi.,general,"precondition: device roaming, device using wi-fi",
1494,samsung_galaxi_s7,['software'],"['setting', 'email', 'calls']","['setting', 'voicemail']","set up visual voicemail, access visual voicemail",visual voicemail,Set up and access Visual Voicemail - Samsung Galaxy S7,Set up and access Visual Voicemail - Samsung Galaxy S7,"From the home screen, tap Apps.

	Scroll to and tap the Sprint folder.

	Tap Voicemail.

	Swipe left through the Welcome to Visual Voicemail screens, then tap DONE.

	Note: To skip the Welcome messages, tap SKIP.

	If prompted, read the Give Permission message and tap OK, then review each permission request and tap the preferred option.

	Tap PERSONALIZE.

	The device will automatically dial the voicemail number.

	Follow the voice prompts to set up the voicemail account.

	Once the passcode, name, and greeting are set up, listen to the remaining instructions and tips.

	Tap the End Call button when finished.

	Your voicemail is now set up.

	To listen to a message, tap the message.

	Tap the Play button to begin playback.

	
		Tap the Call icon to return the call.
	
		Tap the Reply icon to respond with a message.
	
		Tap the Pause/Play button to pause or resume the message.
	
		Tap the Speaker button to turn speakerphone on or off.
	
		Tap and drag the playback slider to skip to a specific part of the message.


	For additional options, tap the Menu icon.

	To move the message to the Trash folder, tap Delete.

	To share the message, tap Share and follow the steps.

	To archive the message, tap Archive message.

	Otherwise, tap the Back key twice to return to the Inbox.

	Note: Deleted messages are stored in the Trash folder for 30 days, after which they are permanently deleted.

	Archived messages are stored indefinitely.

	New messages will automatically be displayed in the Inbox.

	Note: To access other folders, swipe right from the edge of the screen to open the Side menu, then tap the folder.

	For additional voicemail settings, tap the Menu icon in the upper right, then tap Settings.",device,,
1792,no_device,[],[],[],program device,,Program your Nexus 6,Program your Nexus 6,"Program your Nexus 6
Steps to activate your Nexus 6
Symptoms:
Phone is not active Unable to make or receive calls Unable to send or receive text messages
Note: Before you try these steps, check the Sprint coverage map and verify that you are in an area with good coverage.
Hands-free activation
If this is the first time activating your phone, hands-free activation automatically runs in the background as you go through the initial sign-in process.
Initial sign-in and first use
Update the data profile
If this is not the first time activating your phone or hands-free activation did not complete successfully, update the data profile.
Update the data profile
Reset network connection
If the activation methods above did not work, reset your network connection.
From the home screen, tap the Phone icon. Tap the Keypad icon. Dial *#*#72786#*#* . Tap OK . Your phone will restart. After it restarts and reconnects to the network, your phone automatically launches hands-free activation.
If you are having trouble activating your Nexus 6, make an appointment at a convenient Sprint Store.",general,,
1594,samsung_galaxi_s7,['troubleshoot'],[],[],"troubleshoot phone, troubleshoot device","slow device, slow phone, phone freezes, device freezes, device turns off unexpectedly","Troubleshoot when your Samsung Galaxy S7 Special Edition slows, freezes, or turns off unexpectedly","Troubleshoot when your Samsung Galaxy S7 Special Edition slows, freezes, or turns off unexpectedly","This article helps troubleshoot your Samsung Galaxy S7 Special Edition slowing,freezing, or turning off unexpectedly. 
  You may have performance issues if your Samsung Galaxy S7 Special Edition: 
   
   Performs slowly 
   Freezes 
   Turns off or unexpectedly restarts 
   Displays error messages 
   Is unable to install or update applications 
   
  Try each of these steps to see if it helps improve your phone's performance. 
   
    Safely remove your SD card.  
     
     From the home screen, tap Apps. 
     Tap Settings. 
     Scroll to and tap Storage. 
     Tap SD card. 
     Tap Unmount. 
     Remove the SD card. 
      
    Perform a soft reset.   A soft reset restarts your phone and does not erase any of your content or data. 
     
     Press and hold the Power and Volume down keys at the same time. 
     Release both keys as soon as the device restarts. 
      
    Determine if your phone has low memory.  
     
     From the home screen, tap Apps. 
     Tap Settings. 
     Scroll to and tap Storage. 
     Under Device storage, check the amount of memory used. 
     If your phone has low memory, troubleshoot low memory issues. 
      
    Clear the application cache.  
     
     Clear the application cache on your applications to free up space and improve performance. 
     Be sure you clear only the application cache and not the application data. 
     When you clear the application data, it removes your personal settings and info such as login information and high scores. 
     Clearing the application cache doesn't remove your personal settings or information. 
     
     
     From the home screen, tap Apps. 
     Tap Settings. 
     Scroll to and tap Applications. 
     Tap Application manager. 
     Scroll to and tap an application. 
     Tap Storage. 
     Tap CLEAR CACHE. 
      
    Close background applications.  Some apps continue to run in the background after you exit them. Sprint recommends that you close background applications when you're not using them.  
    Verify that your Samsung Galaxy S7 Special Edition is running the most recent software.  There may be a software update that improves battery life on your phone. Check for software updates.  
   
  If you're still having issues, try the Sprint Community pages or make an appointment at a convenient Sprint Repair center.",device,,
1296,samsung_galaxi_s7,['software'],['internet&network'],['roaming'],"turn on roaming, turn off roaming","device roaming, special edition",Turn roaming on or off - Samsung Galaxy S7 Special Edition,Turn roaming on or off - Samsung Galaxy S7 Special Edition,"From the home screen, swipe down the Status bar.

	Tap the Settings icon.

	Scroll to and tap Mobile networks.

	Tap Data roaming.

	Tap Roaming network.

	Tap Home only to disable roaming.

	Tap Automatic to enable roaming.

	The roaming settings are now changed.

	Note: If roaming is enabled, tap to enable or disable specific types of roaming as preferred. If prompted, review the warning and tap the preferred option.",device,,
1491,no_device,[],[],[],"program device, program phone",,Program your Google Pixel,Program your Google Pixel,"Steps to activate your Google Pixel
Symptoms:
Phone is not active Unable to make or receive calls Unable to send or receive text messages
Note: Before you try these steps, check the Sprint coverage map and verify that you are in an area with good coverage.
Hands-free activation
If this is the first time activating your phone, hands-free activation automatically runs in the background as you go through the initial sign-in process.
Initial sign-in and first use
Update the data profile
If this is not the first time activating your phone or hands-free activation did not complete successfully, update the data profile.
Update the data profile
Reset network connection
If the activation methods above did not work, reset your network connection.
From the home screen, tap the Phone icon. Tap the Keypad icon. Dial *#*#72786#*#* . Tap OK . Your phone will restart. After it restarts and reconnects to the network, your phone automatically launches hands-free activation.
If you are having trouble activating your Google Pixel, make an appointment at a convenient Sprint Store.",general,,
2094,appl_iphon_4_8gb,['software'],"['setting', 'email']",['setting'],"set up email, ","pre owned as you go, exchange email",Set up Exchange email - Apple iPhone 4 8GB Certified Pre Owned As You Go,Set up Exchange email - Apple iPhone 4 8GB Certified Pre Owned As You Go,"From the home screen, tap Settings.

	Tap Mail, Contacts, Calendars.

	Tap Add Account.

	Tap Exchange.

	Enter the account email address and password, then tapNext.

	Note: If desired, enter aDescriptionfor the account.

	The phone will attempt to set up the account automatically.

	If the settings are found, tap the desired account synchronizationoptionsand tapSave. The email account is now set up.

	If this fails, tap the Username field and enter the username.

	Enter the domain name and server address (if required).

	Tap Next.

	Note:To verify exchange server settings, contact the email provider or company email administrator.

	Set the switches as desired, then tap Save.

	The Microsoft Exchange account has been configured.",device,,
629,no_device,['service'],['service'],[],,"sprint discount, sprint discount program, wireless service",FAQ related to the Sprint Discount Program,Does the Sprint discount apply to all wireless services?,"Discount applies only to the data service charge for Better Choice Plans, Sprint Family Share Pack and Unlimited, My Way. Discount is not available with no credit check or Mobile Hotspot add-on. Discount may also apply to select previously available services where specified.",general,,
554,no_device,['service'],['plan'],[],"change plan online, update plan online, change plan, updata plan",rate plan,Change or update your rate plan online,Change or update your rate plan online,"To change or update your plan online, you must have a valid My Sprint account and be set up with an account owner or account authorized profile. If you are not an account owner and do not have permission to change settings on your account, you will not have permissions to change or update your plan.
You can change your plan at any time without extending your contract. Plans vary based on your eligibility. Device and term restrictions may apply. Switching plans may result in the loss of service discounts and add-ons.
Your plan change will be reflected on your next bill.
Some plans may not work with all devices. Smartphones require activation on a plan that includes data. Once a plan change is made, you cannot change back to your previous plan if it is no longer offered. However, you will be able to switch to other plans that are available.
To change or update your rate plan online:
Visit sprint.com/mysprint . Click Sign in . Enter your username and password to sign in. On the My Account tab, scroll to the I want to section on the right-hand side and click Change my plan . Select a new plan. Once you've chosen your plan, click Add to cart at the bottom on the page. Your selection will appear at the top of the page. If you'd like to add optional service add-ons, you can do so by choosing an eligible add-on from the list. Click Continue . Click Checkout to review your new plan, make any changes or checkout. Review your order details to ensure that they are correct. Note: A confirmation email will be sent to the account owner's email address. Scroll down to the bottom of the page, and then click Complete plan change to complete the order, Keep shopping to add more changes , or Empty my cart to cancel the order.",general,,
508,no_device,[],[],[],create multiple walls,"familywall for sprint, mltiple wall",FAQs about FamilyWall for Sprint,Why would I create multiple Walls?,"With FamilyWall for Sprint, you can create multiple private Walls to communicate with separate groups, such as family, friends, co-workers, teams, clubs and more. For example, you may want a Wall for your immediate family, where you can share pictures, schedules, and member locations privately. You may want a neighborhood Wall, where you and your neighbors can share information about community activities. You may want a Wall for your work team, where you can share work schedules and tasks. You may want a Wall for your sports team or club where you can share photos, videos and important updates. FamilyWall for Sprint makes staying connected to all of the most important people in your life easy by helping you organize them into individual, private groups. Each Wall is separate and private; you get to decide who is invited, and all the shared content is Wall specific, so members of one Wall will not have access to the content of your other Walls.",general,,
297,no_device,['service'],['accessory'],[],sign up for monthly installments,"monthly installment, monthly installments for accessories, business sales representative",FAQs about monthly installments for accessories,Can I sign up for monthly installments through my Business Sales Representative?,No. Monthly installments are expected to be available in additional business channels in the future.,general,,
1397,no_device,"['service', 'bill']","['pay', 'payment', 'service']",[],restore service,"payment arrangement, service restoration",FAQs about payment arrangements,Will a payment arrangement restore my service?,"Yes.
Will a payment arrangement prevent further collection activity?
Yes, a payment arrangement that remains open and in good standing will prevent further collection activity. If a payment arrangement is cancelled or is unsuccessful, the account will be subject to collection activities.",general,,
422,no_device,['bill'],"['pay', 'payment']",[],[],"buy online, pick up in stall, payment method","FAQs about Buy Online, Pick Up in Store",What payment methods are accepted?,"We accept all major credit cards. You pay for your order online, so nothing is due on the day of your appointment. But be sure to bring the credit card you used, you will need that to pick up your items. And you'll also need a valid photo ID. We do this as a security measure to ensure that you and only you pick up your order.",general,,
760,no_device,"['device', 'hardware']",['equipment'],[],"add device protection, add phone protection","total equipment protection, total equipment protection plus",Add Total Equipment Protection or Total Equipment Protection Plus for your devices,How can I add 		Total Equipment Protection or Total Equipment Protection Plus to my device?,Total Equipment Protection and Total Equipment Protection Plus must be added to your device within 30 days of activation or upgrade. See an in-store Sprint representative or contact Asurion at 1-800-584-3666 to enroll.,general,,
